Marks,Percentile,Rank
-75,0.843517743614459,1075300
-74,0.843517743614459,1075218
-73,0.843517743614459,1075136
-72,0.843517743614459,1075054
-71,0.843517743614459,1074973
-70,0.843517743614459,1074891
-69,0.843517743614459,1074809
-68,0.843517743614459,1074727
-67,0.843517743614459,1074646
-66,0.843517743614459,1074564
-65,0.843517743614459,1074482
-64,0.843517743614459,1074400
-63,0.843517743614459,1074319
-62,0.843517743614459,1074237
-61,0.843517743614459,1074155
-60,0.843517743614459,1074073
-59,0.843517743614459,1073992
-58,0.843517743614459,1073910
-57,0.843517743614459,1073828
-56,0.843517743614459,1073746
-55,0.843517743614459,1073665
-54,0.843517743614459,1073583
-53,0.843517743614459,1073501
-52,0.843517743614459,1073419
-51,0.843517743614459,1073338
-50,0.843517743614459,1073256
-49,0.843517743614459,1073174
-48,0.843517743614459,1073092
-47,0.843517743614459,1073011
-46,0.843517743614459,1072929
-45,0.843517743614459,1072847
-44,0.843517743614459,1072765
-43,0.843517743614459,1072684
-42,0.843517743614459,1072602
-41,0.843517743614459,1072520
-40,0.843517743614459,1072438
-39,0.843517743614459,1072357
-38,0.843517743614459,1072275
-37,0.843517743614459,1072193
-36,0.843517743614459,1072111
-35,0.843517743614459,1072030
-34,0.843517743614459,1071948
-33,0.843517743614459,1071866
-32,0.843517743614459,1071784
-31,0.843517743614459,1071703
-30,0.843517743614459,1071621
-29,0.843517743614459,1071539
-28,0.843517743614459,1071457
-27,0.843517743614459,1071376
-26,0.843517743614459,1071294
-25,0.843517743614459,1071212
-24,0.843517743614459,1071130
-23,0.843517743614459,1071049
-22,0.843517743614459,1070967
-21,0.843517743614459,1070885
-20,0.843517743614459,1070804
-19,0.843517743614459,1070460
-18,0.843517743614459,1069217
-17,0.843517743614459,1067975
-16,0.843517743614459,1066732
-15,0.843517743614459,1065490
-14,0.843517743614459,1064247
-13,0.843517743614459,1063005
-12,0.843517743614459,1061762
-11,0.843517743614459,1060520
-10,0.843517743614459,1059278
0,0.843517743614459,991000
1,1.7287066314540611,975190
2,2.6138955192936635,959381
3,3.4990844071332656,943572
4,4.384273294972868,927763
5,5.26946218281247,911954
6,6.154651070652072,896145
7,7.039839958491674,880336
8,7.925028846331276,864527
9,8.810217734170879,848718
10,9.69540662201048,832909
11,13.4958497103427,798176
12,15.688436224310443,777898
13,17.88102273827819,757620
14,20.073609252245934,737343
15,22.266195766213677,717065
16,24.45878228018142,696788
17,26.651368794149164,676510
18,28.84395530811691,656233
19,31.036541822084654,635955
20,33.2291283360524,615678
21,37.6945295632834,578789
22,39.79172749814297,559798
23,41.888925433002534,540807
24,43.9861233678621,521816
25,46.08332130272167,502825
26,48.18051923758124,483835
27,50.2777171724408,464844
28,52.37491510730037,445853
29,54.47211304215993,426862
30,56.5693109770195,407872
31,58.1514901857346,386789
32,59.61266375350988,373508
33,61.073837321285154,360227
34,62.53501088906044,346946
35,63.996184456835714,333665
36,65.457358024611,320385
37,66.91853159238627,307104
38,68.37970516016155,293823
39,69.84087872793683,280542
40,71.3020522957121,267262
41,73.2878087751462,247382
